time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-23T11:15:31.334Z,-6.4488,146.4787,105.227,4.4,mb,22,98,3.013,0.43,us,us6000p78m,2024-11-23T12:02:56.040Z,"64 km WNW of Lae, Papua New Guinea",earthquake,9.68,3.528,0.127,18,reviewed,us,us
2024-11-23T10:47:50.871Z,-2.8095,145.7107,10,5.2,mb,47,41,1.821,0.78,us,us6000p78j,2024-11-23T11:04:04.040Z,"193 km WSW of Lorengau, Papua New Guinea",earthquake,6.46,1.648,0.097,35,reviewed,us,us
2024-11-23T10:25:35.435Z,-2.8464,145.6761,10,5.1,mb,41,42,1.867,0.53,us,us6000p78e,2024-11-23T10:42:59.040Z,"198 km WSW of Lorengau, Papua New Guinea",earthquake,4.87,1.84,0.082,48,reviewed,us,us
2024-11-23T09:10:20.920Z,37.23766708374,-118.49349975586,14.560000419617,2.85,md,35,85,0.1681,0.06,nc,nc75089306,2024-11-24T06:22:01.040Z,"10 km WSW of Wilkerson, CA",earthquake,0.31,1.23000002,0.24,37,automatic,nc,nc
2024-11-23T09:05:27.030Z,17.962333333333,-66.410166666667,10.43,2.81,md,15,147,0.0161,0.09,pr,pr71466413,2024-11-23T09:24:35.780Z,"0 km SW of Santa Isabel, Puerto Rico",earthquake,0.35,0.6,0.17851504982729,14,reviewed,pr,pr
2024-11-23T08:33:03.407Z,39.2956,71.7909,10,5.4,mb,111,34,0.182,0.82,us,usd00125in,2024-11-24T08:40:15.428Z,"23 km ENE of Karakenja, Tajikistan",earthquake,6.46,1.762,0.034,296,reviewed,us,us
2024-11-23T08:10:12.669Z,39.6587,46.51,10,4.4,mb,47,100,0.334,0.66,us,us6000p77p,2024-11-23T08:33:24.040Z,"7 km NNW of Laçın, Azerbaijan",earthquake,5.02,1.901,0.085,40,reviewed,us,us
2024-11-23T06:44:26.599Z,51.0774,-176.2671,31.275,3.8,mb,68,216,0.79,0.67,us,us6000p7a7,2024-11-24T06:45:02.040Z,"92 km SSE of Adak, Alaska",earthquake,5.89,12.615,0.091,31,reviewed,us,us
2024-11-23T05:42:20.150Z,-17.8743,-178.6133,589.285,4.4,mb,54,94,2.376,0.5,us,us6000p76z,2024-11-23T06:13:27.040Z,"220 km E of Levuka, Fiji",earthquake,14.93,9.565,0.082,43,reviewed,us,us
2024-11-23T04:58:52.448Z,2.2341,128.1056,167.834,4.6,mb,20,170,1.63,0.63,us,us6000p76u,2024-11-23T05:15:42.040Z,"56 km N of Tobelo, Indonesia",earthquake,12.86,9.57,0.151,14,reviewed,us,us
2024-11-23T04:47:25.872Z,59.6578,-151.5216,51.6,2.5,ml,,,,0.17,ak,ak024f2ixp1n,2024-11-23T05:07:31.040Z,"2 km NE of Homer, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-11-23T04:27:57.825Z,36.4217,70.4701,196.379,4.2,mb,36,89,2.013,0.8,us,us6000p76r,2024-11-23T05:03:11.040Z,"57 km ESE of Farkhār, Afghanistan",earthquake,8.92,9.507,0.146,13,reviewed,us,us
2024-11-23T03:25:51.051Z,18.3296,145.545,345.937,4.3,mb,61,60,3.087,0.56,us,us6000p761,2024-11-23T03:55:27.040Z,"Pagan region, Northern Mariana Islands",earthquake,11.14,3.327,0.066,72,reviewed,us,us
2024-11-23T01:52:35.810Z,19.179166666667,-155.48833333333,30.41,3.18,ml,64,80,0.03424,0.12,hv,hv74537972,2024-11-23T02:46:56.840Z,"2 km SSW of Pāhala, Hawaii",earthquake,0.37,0.43,0.18001395836539,48,reviewed,hv,hv
2024-11-23T01:41:11.631Z,54.7554,-156.8718,10,3.3,ml,27,223,1.904,0.51,us,us6000p75u,2024-11-23T01:49:46.040Z,"193 km SE of Perryville, Alaska",earthquake,8.55,2.001,0.077,22,reviewed,us,us
